date,fund_id,portfolio_return
2017-12-19,1,-0.006603189042205531
2017-12-19,2,-0.0047937692580570625
2017-12-19,3,-0.009467205498218272
2017-12-20,1,-0.0020910280299305016
2017-12-20,2,-0.003173213395769306
2017-12-20,3,-0.001045632872940991
2017-12-21,1,0.0021326793274681895
2017-12-21,2,0.0010392780453328519
2017-12-21,3,0.0034791608140281984
2017-12-22,1,-0.0010166946660417134
2017-12-22,2,-0.0018923827279338427
2017-12-22,3,-7.63785772476914e-05
2017-12-26,1,-0.011165439330238787
2017-12-26,2,-0.0042146290214607795
2017-12-26,3,-0.021590879507168124
2017-12-27,1,0.0011026344150021354
2017-12-27,2,0.0018402467344441865
2017-12-27,3,0.00027832454754774335
2017-12-28,1,0.00250037873212845
2017-12-28,2,0.0024918270501109972
2017-12-28,3,0.002646758655080389
2017-12-29,1,-0.009189092952563831
2017-12-29,2,-0.009252093027755506
2017-12-29,3,-0.009926538524612132
2018-01-02,1,0.013920195113975135
2018-01-02,2,0.013010327910782346
2018-01-02,3,0.016166559015188077
2018-01-03,1,0.004325834984120587
2018-01-03,2,0.006809657713952968
2018-01-03,3,0.000917926497332867
2018-01-04,1,0.0043723738991157226
2018-01-04,2,0.0042992620580201545
2018-01-04,3,0.004532048227753947
2018-01-05,1,0.0103875469947768
2018-01-05,2,0.010780847905988006
2018-01-05,3,0.010602322057209375
2018-01-08,1,0.0011246997103908885
2018-01-08,2,0.004314530217496467
2018-01-08,3,-0.0028241500899141383
2018-01-09,1,0.001165485804965692
2018-01-09,2,0.002009790537104075
2018-01-09,3,0.00012136762117751113
2018-01-10,1,-0.00033389146547949583
2018-01-10,2,-0.00016647787845109184
2018-01-10,3,-0.0003767319048141092
2018-01-11,1,0.008027136890994857
2018-01-11,2,0.009976337828176468
2018-01-11,3,0.005888269445356715
2018-01-12,1,0.010727817476697925
2018-01-12,2,0.012273445990601175
2018-01-12,3,0.009682335087622482
2018-01-16,1,-0.0037495980186026973
2018-01-16,2,-0.0028854920135986057
2018-01-16,3,-0.004834313279210379
2018-01-17,1,0.009997928426663095
2018-01-17,2,0.0057715316006094934
2018-01-17,3,0.015212964297329285
2018-01-18,1,-0.00040980497458119395
2018-01-18,2,-0.0009400167893404138
2018-01-18,3,0.00047446518232262404
2018-01-19,1,-0.0002315938459717064
2018-01-19,2,0.0012869784305982377
2018-01-19,3,-0.0029980171789252413
2018-01-22,1,0.0031399321818229085
2018-01-22,2,0.009494932958500596
2018-01-22,3,-0.005506619765738512
2018-01-23,1,0.004969884660932966
2018-01-23,2,0.009115001668700632
2018-01-23,3,0.0005503304302141893
2018-01-24,1,-0.008195319622826467
2018-01-24,2,-0.005101961728090972
2018-01-24,3,-0.013474121845430242
2018-01-25,1,-0.005782440961836083
2018-01-25,2,0.0007197528835664598
2018-01-25,3,-0.01490977955740668
2018-01-26,1,0.008272719171508945
2018-01-26,2,0.011306870064560588
2018-01-26,3,0.003907757771309652
2018-01-29,1,-0.010545819706369008
2018-01-29,2,-0.004533119360633129
2018-01-29,3,-0.01855558710790428
2018-01-30,1,-0.004773100097442713
2018-01-30,2,-0.0020816609080587536
2018-01-30,3,-0.006752777506112073
2018-01-31,1,0.0028499547782820087
2018-01-31,2,0.0036448562461529424
2018-01-31,3,0.002374091491651185
2018-02-01,1,-0.005881424566817976
2018-02-01,2,-0.01300912140883965
2018-02-01,3,0.0016322033920406675
2018-02-02,1,-0.024359260755027482
2018-02-02,2,-0.011412037249929473
2018-02-02,3,-0.04053922210737686
2018-02-05,1,-0.03213033343385192
2018-02-05,2,-0.033869473309754726
2018-02-05,3,-0.028058511639088787
2018-02-06,1,0.03128644145615143
2018-02-06,2,0.02890828813452186
2018-02-06,3,0.037000043524233577
2018-02-07,1,-0.014720076059310506
2018-02-07,2,-0.01291615031945722
2018-02-07,3,-0.018868603598405004
